Name of the Banks,Date,Savings Deposit,Special Notice Deposit (SND) Deposit,Special Notice Deposit (SND) Deposit,Special Notice Deposit (SND) Deposit,Special Notice Deposit (SND) Deposit,Special Notice Deposit (SND) Deposit,Fixed Deposit,Fixed Deposit,Fixed Deposit,Fixed Deposit,Fixed Deposit
MDBL,2015-05-01,6.875,6.5,7.0,8.0,8.0,8.0,9.5,9.75,9.625,,
MERCANTILE,2015-05-01,5.5,4.0,5.0,5.5,5.5,6.0,8.75,8.75,8.75,,
MGBL,2015-05-01,5.0,5.0,5.5,6.0,6.5,7.0,9.75,9.75,9.75,,
MMBL,2015-05-01,6.0,4.0,4.0,4.0,4.0,4.0,9.625,9.875,10.125,,
MUTUAL TRUST,2015-05-01,5.125,4.5,4.75,5.0,5.25,5.75,9.125,9.125,9.375,9.25,9.25
NBL,2015-05-01,5.5,5.0,6.0,6.5,8.0,8.0,9.25,9.25,9.5,9.75,9.75
NCCBL,2015-05-01,5.0,5.0,5.5,5.75,6.0,6.25,8.25,8.5,8.5,,
NRBBL,2015-05-01,6.25,6.25,7.0,7.25,8.0,8.5,9.5,8.0,8.75,8.75,
NRBCBL,2015-05-01,6.25,5.5,5.75,6.5,7.0,7.5,9.5,10.0,10.0,10.0,
ONE BANK,2015-05-01,7.025,4.0,6.0,6.0,6.25,8.0,8.75,8.625,9.25,9.25,9.25
Padma,2015-05-01,6.25,5.0,6.0,7.0,8.0,8.5,9.5,9.5,10.0,,
PREMIER,2015-05-01,4.5,4.0,4.0,5.0,5.0,6.0,9.25,9.25,9.25,,9.75
PRIME,2015-05-01,5.25,3.0,5.5,7.0,7.0,7.5,7.625,8.25,8.875,8.875,8.875
PUBALI,2015-05-01,4.0,3.5,4.0,7.0,7.5,7.5,8.25,8.75,9.0,11.125,11.0
SBACBL,2015-05-01,6.5,5.5,5.5,5.5,5.5,5.5,9.5,10.5,10.5,10.5,10.5
SHAHJALAL,2015-05-01,4.0,4.0,4.25,4.5,5.0,5.5,8.0,7.75,7.75,,
SIBL,2015-05-01,4.0,4.0,4.5,5.0,5.5,6.0,9.0,9.25,9.5,,
SOUTHEAST,2015-05-01,5.0,4.0,5.0,6.0,7.0,7.5,9.0,9.0,9.0,,
STANDARD,2015-05-01,5.0,4.0,4.5,5.0,6.0,7.0,9.0,9.0,9.0,8.625,
THE CITY,2015-05-01,5.5,2.5,4.0,4.5,9.0,9.0,8.625,8.875,7.75,8.625,9.265
TRUST BANK,2015-05-01,5.0,3.0,3.5,4.0,4.5,4.5,9.0,8.375,8.625,8.625,8.625
UCBL,2015-05-01,5.75,4.0,5.0,6.0,6.5,7.0,8.125,8.125,8.125,9.5,10.0
UNBL,2015-05-01,7.0,5.5,5.5,5.5,5.5,5.5,10.0,10.0,10.0,10.0,10.0
UTTARA,2015-05-01,4.5,4.5,5.0,6.5,6.75,7.0,7.75,8.0,8.0,8.0,
FBs,2015-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL FALAH,2015-05-01,5.25,3.5,4.0,5.0,5.0,5.0,8.125,8.375,8.75,7.5,7.25
CITI N.A.,2015-05-01,4.0,1.5,2.5,2.0,2.4,2.5,2.8,3.1,3.2,5.5,
COMMERCIAL B.,2015-05-01,4.375,3.0,4.5,6.0,6.0,6.5,7.25,7.5,7.85,7.5,9.125
HABIB,2015-05-01,4.75,3.5,5.0,5.5,5.5,5.5,7.75,7.75,8.25,8.25,8.25
HSBC,2015-05-01,3.75,2.0,2.5,2.25,2.5,3.0,3.875,3.875,4.75,5.25,5.5
NBP,2015-05-01,6.0,5.0,5.0,5.0,5.0,5.0,10.0,10.5,11.0,11.0,11.0
SBI,2015-05-01,4.0,2.0,2.5,3.0,3.0,3.0,6.625,6.875,6.875,6.875,6.875
STAN.CHART,2015-05-01,3.625,2.0,2.0,2.0,3.0,3.0,4.5,5.375,5.375,5.5,6.0
WOORI,2015-05-01,5.0,4.0,4.0,4.0,4.0,4.0,5.25,8.5,8.75,8.75,8.75
AGRANI,2015-06-01,4.0,5.0,5.0,5.0,5.0,5.0,7.25,7.5,8.0,,
BASIC,2015-06-01,7.125,5.5,6.0,6.25,6.5,7.0,7.5,7.7,8.0,7.75,7.75
BDBL,2015-06-01,6.5,5.0,5.0,5.0,5.0,5.0,7.25,8.5,8.75,9.0,9.0
JANATA,2015-06-01,5.625,5.0,5.0,5.0,5.0,5.0,7.5,7.75,8.0,,
RUPALI,2015-06-01,6.0,5.5,5.5,5.5,5.5,5.5,7.5,7.75,8.0,8.0,8.0
SONALI,2015-06-01,5.0,5.0,5.0,5.0,5.0,5.0,7.5,7.75,8.0,8.0,
DFIs,2015-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BKB,2015-06-01,5.5,4.0,4.0,4.0,4.0,5.0,8.0,8.25,8.5,,
RAKUB,2015-06-01,6.0,4.25,4.25,4.25,4.25,4.25,7.25,8.0,9.4,9.4,9.4
PCBs,2015-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB-BANK,2015-06-01,5.0,3.5,4.5,5.5,6.5,7.0,9.0,9.25,9.5,9.75,
AL-ARAFAH,2015-06-01,4.0,4.0,4.0,4.0,4.0,4.0,7.5,8.0,8.5,9.0,9.0
BANK ASIA,2015-06-01,4.5,3.0,4.0,5.0,6.0,6.0,8.25,8.5,8.625,8.625,8.625
BCBL,2015-06-01,5.5,3.0,3.5,4.0,4.0,4.0,9.125,9.125,9.0,9.0,9.0
BRAC,2015-06-01,3.5,3.0,5.0,6.0,7.0,8.0,6.5,6.625,7.25,6.25,6.375
DHAKA,2015-06-01,5.0,4.0,4.5,4.75,5.0,5.5,7.875,7.875,7.625,7.0,10.41
DUTCH-BANGLA,2015-06-01,3.5,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0
EBL,2015-06-01,5.75,3.0,4.0,4.5,5.0,5.5,6.5,6.5,8.5,7.5,7.5
EXIM,2015-06-01,5.0,3.0,3.5,4.0,4.0,5.0,9.25,9.25,9.25,9.25,9.25
FIRST SECU,2015-06-01,5.0,3.0,4.0,4.0,4.0,4.0,9.5,9.5,9.75,9.75,9.75
GIBL,2015-06-01,6.0,6.0,6.5,7.0,7.0,7.0,10.125,9.875,10.125,10.125,10.125
ICB,2015-06-01,3.0,5.0,6.5,6.5,6.5,6.5,9.0,9.25,9.25,10.0,10.0
IFIC,2015-06-01,5.5,2.0,4.0,4.0,4.0,6.0,8.5,8.75,8.75,,
ISLAMI,2015-06-01,4.2,3.0,3.0,3.0,3.0,3.0,6.3,6.5,6.6,6.8,8.1
JAMUNA,2015-06-01,5.0,3.5,3.75,4.0,4.5,5.25,8.625,8.625,8.625,,
MDBL,2015-06-01,6.75,6.0,6.0,6.0,6.0,6.0,9.0,9.0,8.75,,
MERCANTILE,2015-06-01,5.5,4.0,5.0,5.5,5.5,6.0,8.5,8.5,8.5,,
MGBL,2015-06-01,5.0,5.0,5.5,6.0,6.5,7.0,9.25,9.0,9.0,,
MMBL,2015-06-01,6.0,4.0,4.0,4.0,4.0,4.0,8.625,8.875,9.125,,
MUTUAL TRUST,2015-06-01,4.875,4.25,4.5,4.75,5.0,5.25,8.5,8.5,8.75,9.0,9.15
NBL,2015-06-01,5.25,5.0,6.0,6.5,7.0,7.5,9.0,9.0,9.25,9.25,9.0
NCCBL,2015-06-01,5.0,5.0,5.5,5.75,6.0,6.25,8.0,8.0,8.0,,
NRBBL,2015-06-01,6.25,6.25,7.0,7.25,8.0,8.5,9.4,7.75,8.75,8.75,
NRBCBL,2015-06-01,6.25,5.5,5.75,6.5,7.0,7.5,9.5,9.75,10.0,10.0,
ONE BANK,2015-06-01,7.025,4.0,6.0,6.0,6.25,8.0,8.75,8.625,9.25,9.25,9.25
Padma,2015-06-01,6.25,5.0,6.0,7.0,8.0,8.5,9.5,9.5,10.0,,
PREMIER,2015-06-01,4.5,4.0,4.0,5.0,5.0,6.0,9.5,9.5,9.5,,9.75
PRIME,2015-06-01,5.25,3.0,5.0,5.25,5.25,5.75,7.0,7.5,7.5,7.5,7.5
PUBALI,2015-06-01,4.0,3.5,4.0,7.0,7.5,7.5,8.25,8.75,9.0,11.125,11.0
SBACBL,2015-06-01,6.5,5.5,5.5,5.5,5.5,5.5,9.0,10.0,10.125,10.75,10.75
SHAHJALAL,2015-06-01,4.0,4.0,4.25,4.5,5.0,5.5,8.0,7.75,7.75,,
SIBL,2015-06-01,4.0,4.0,4.5,5.0,5.5,6.0,9.0,9.25,9.5,,
SOUTHEAST,2015-06-01,5.0,4.0,5.0,6.0,7.0,7.5,8.5,8.5,8.5,,
STANDARD,2015-06-01,5.0,4.0,4.5,5.0,6.0,7.0,9.0,9.0,9.0,8.625,
THE CITY,2015-06-01,4.75,2.5,4.0,4.5,9.0,9.0,8.625,8.875,7.875,8.625,9.265
TRUST BANK,2015-06-01,5.0,3.0,3.5,4.0,4.5,4.5,9.0,8.375,8.625,8.625,8.625
UCBL,2015-06-01,5.75,4.0,5.0,6.0,6.5,7.0,8.125,8.125,8.125,9.5,10.0
UNBL,2015-06-01,7.0,5.5,5.5,5.5,5.5,5.5,10.0,10.0,10.0,10.0,10.0
UTTARA,2015-06-01,4.5,4.5,5.0,6.5,6.75,7.0,7.75,8.0,8.0,8.0,
FBs,2015-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL FALAH,2015-06-01,5.25,3.5,4.0,5.0,5.0,5.0,7.875,8.125,8.5,7.5,7.25
CITI N.A.,2015-06-01,4.0,1.5,1.55,1.6,1.75,2.0,1.9,2.1,2.15,5.5,
COMMERCIAL B.,2015-06-01,4.25,3.0,4.0,4.5,5.0,5.5,6.625,7.0,7.375,7.5,9.125
HABIB,2015-06-01,4.75,3.5,5.0,5.5,5.5,5.5,7.0,7.0,7.5,7.5,7.5
HSBC,2015-06-01,3.75,1.75,1.75,2.0,2.25,3.0,3.375,3.625,4.75,5.25,5.5
NBP,2015-06-01,6.0,5.0,5.0,5.0,5.0,5.0,10.0,10.5,11.0,11.0,11.0
SBI,2015-06-01,4.0,2.0,2.5,3.0,3.0,3.0,6.125,6.375,6.375,6.375,6.375
STAN.CHART,2015-06-01,3.35,2.0,2.0,2.0,3.0,3.0,4.5,5.375,5.375,5.5,6.0
WOORI,2015-06-01,5.0,4.0,4.0,4.0,4.0,4.0,5.25,8.5,8.75,8.75,8.75
AGRANI,2015-07-01,4.0,5.0,5.0,5.0,5.0,5.0,7.25,7.5,8.0,,
BASIC,2015-07-01,7.125,5.5,6.0,6.25,6.5,7.0,7.5,7.7,8.0,7.75,7.75
BDBL,2015-07-01,6.5,5.0,5.0,5.0,5.0,5.0,7.25,8.5,8.75,9.0,9.0
JANATA,2015-07-01,5.625,5.0,5.0,5.0,5.0,5.0,7.5,7.75,8.0,,
RUPALI,2015-07-01,6.0,5.5,5.5,5.5,5.5,5.5,7.5,7.75,8.0,8.0,8.0
SONALI,2015-07-01,5.0,5.0,5.0,5.0,5.0,5.0,7.5,7.75,8.0,8.0,
DFIs,2015-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BKB,2015-07-01,5.5,4.0,4.0,4.0,4.0,5.0,7.5,7.75,8.0,,
RAKUB,2015-07-01,5.5,4.25,4.25,4.25,4.25,4.25,7.25,8.0,9.4,9.4,9.4
PCBs,2015-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB-BANK,2015-07-01,5.0,3.5,4.5,5.5,6.5,7.0,8.75,9.0,9.25,9.75,
AL-ARAFAH,2015-07-01,4.0,4.0,4.0,4.0,4.0,4.0,7.5,8.0,8.5,9.0,9.0
BANK ASIA,2015-07-01,4.5,3.0,4.0,4.5,6.0,6.0,7.75,8.0,8.0,8.625,8.625
BCBL,2015-07-01,5.5,3.0,3.5,4.0,4.0,4.0,8.625,9.125,9.0,9.0,9.0
BRAC,2015-07-01,3.5,3.0,5.0,6.0,7.0,8.0,6.5,6.625,7.25,6.25,6.375
DHAKA,2015-07-01,5.0,4.0,4.5,4.75,5.0,5.5,7.875,7.875,7.625,7.0,10.41
DUTCH-BANGLA,2015-07-01,3.5,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0
EBL,2015-07-01,5.5,3.0,4.0,4.5,5.0,5.5,6.0,6.25,8.0,7.5,7.5
EXIM,2015-07-01,5.0,3.0,3.5,4.0,4.0,5.0,9.25,9.25,9.25,9.25,9.25
FIRST SECU,2015-07-01,5.0,3.0,4.0,4.0,4.0,4.0,9.5,9.5,9.75,9.75,9.75
GIBL,2015-07-01,6.0,6.0,6.5,7.0,7.0,7.0,9.625,9.875,10.125,10.125,10.125
ICB,2015-07-01,3.0,5.0,6.5,6.5,6.5,6.5,9.0,9.25,9.25,10.0,10.0
IFIC,2015-07-01,5.5,2.0,4.0,4.0,4.0,6.0,8.5,8.75,8.75,,
ISLAMI,2015-07-01,4.2,3.0,3.0,3.0,3.0,3.0,6.3,6.5,6.6,6.8,8.1
JAMUNA,2015-07-01,5.0,3.5,3.75,4.0,4.5,5.25,8.125,8.125,8.125,,
MDBL,2015-07-01,6.75,6.0,6.0,6.0,6.0,6.0,9.0,9.0,8.75,,
MERCANTILE,2015-07-01,5.5,4.0,6.0,6.5,7.0,7.0,8.25,8.25,8.25,,
MGBL,2015-07-01,5.0,5.0,5.5,6.0,6.5,7.0,9.125,9.0,9.0,,
MMBL,2015-07-01,6.0,4.0,4.0,4.0,4.0,4.0,8.625,8.875,9.125,,
MUTUAL TRUST,2015-07-01,4.625,4.25,4.5,4.75,5.0,5.25,8.0,8.25,8.5,8.75,9.0
NBL,2015-07-01,5.25,4.5,5.25,6.0,6.25,7.5,8.875,8.875,8.875,8.5,8.5
NCCBL,2015-07-01,5.0,5.0,5.5,5.75,6.0,6.25,8.0,8.25,8.5,,
NRBBL,2015-07-01,6.25,6.25,7.0,7.25,8.5,8.5,9.5,7.5,8.25,8.75,
NRBCBL,2015-07-01,6.75,5.5,5.75,6.5,7.0,7.5,9.25,9.5,9.5,9.5,
ONE BANK,2015-07-01,4.55,4.0,4.5,4.5,4.5,5.0,8.0,8.0,8.25,8.25,8.25
Padma,2015-07-01,6.25,5.0,6.0,7.0,8.0,8.5,9.5,9.5,10.0,,
PREMIER,2015-07-01,4.5,4.0,4.0,5.0,5.0,6.0,8.0,8.25,9.5,,9.75
PRIME,2015-07-01,5.25,3.0,5.0,5.25,5.25,5.75,7.0,7.5,7.5,7.5,7.5
PUBALI,2015-07-01,4.0,3.5,4.0,7.0,7.5,7.5,8.0,8.25,8.5,11.125,11.0
SBACBL,2015-07-01,6.5,5.5,5.5,5.5,5.5,5.5,9.0,10.0,10.125,10.75,10.75
SHAHJALAL,2015-07-01,4.0,4.0,4.25,4.5,5.0,5.5,8.0,7.75,7.75,,
SIBL,2015-07-01,4.0,4.0,4.5,5.0,5.5,6.0,8.5,8.75,9.0,,
SOUTHEAST,2015-07-01,5.0,4.0,5.0,6.0,7.0,7.5,8.5,8.5,8.5,,
STANDARD,2015-07-01,5.0,4.0,4.5,5.0,6.0,7.0,9.0,9.0,9.0,8.625,
THE CITY,2015-07-01,4.75,2.5,4.0,4.5,9.0,9.0,8.375,8.625,7.75,8.625,9.265
TRUST BANK,2015-07-01,5.0,3.0,3.5,4.0,4.5,4.5,8.75,8.125,8.375,8.375,8.375
UCBL,2015-07-01,5.75,4.0,5.0,6.0,6.5,7.0,8.125,8.125,8.125,9.5,10.0
UNBL,2015-07-01,7.0,5.5,5.5,5.5,5.5,5.5,10.0,10.0,10.0,10.0,10.0
UTTARA,2015-07-01,4.5,4.5,5.0,6.5,6.75,7.0,7.5,7.75,7.75,7.75,
FBs,2015-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL FALAH,2015-07-01,5.0,3.0,4.0,4.0,4.0,4.0,7.125,7.375,7.75,7.5,7.25
CITI N.A.,2015-07-01,4.0,1.5,1.55,1.6,1.75,2.0,1.55,1.7,2.0,5.5,
COMMERCIAL B.,2015-07-01,4.25,3.0,4.0,4.5,5.0,5.5,6.375,7.0,7.125,7.5,8.625
HABIB,2015-07-01,4.75,3.5,5.0,5.5,5.5,5.5,7.0,7.0,7.5,7.5,7.5
HSBC,2015-07-01,3.5,1.75,1.75,2.0,2.25,3.0,3.375,3.625,4.75,5.25,5.5
NBP,2015-07-01,6.0,4.5,5.0,5.5,6.0,6.5,10.0,10.5,11.0,11.0,11.0
SBI,2015-07-01,4.0,2.0,2.5,3.0,3.0,3.0,6.125,6.375,6.375,6.375,6.375
STAN.CHART,2015-07-01,3.375,1.75,1.75,1.75,2.5,2.5,4.375,4.0,5.875,6.75,6.75
WOORI,2015-07-01,5.0,4.0,4.0,4.0,4.0,4.0,5.25,8.5,8.75,8.75,8.75
AGRANI,2015-08-01,4.0,5.0,5.0,5.0,5.0,5.0,7.25,7.5,8.0,,
BASIC,2015-08-01,7.125,5.5,6.0,6.25,6.5,7.0,7.5,7.7,8.0,7.75,7.75
BDBL,2015-08-01,6.5,5.0,5.0,5.0,5.0,5.0,7.25,8.5,8.75,9.0,9.0
JANATA,2015-08-01,5.625,5.0,5.0,5.0,5.0,5.0,7.5,7.75,8.0,,
RUPALI,2015-08-01,6.0,5.5,5.5,5.5,5.5,5.5,7.5,7.75,8.0,8.0,8.0
SONALI,2015-08-01,5.0,5.0,5.0,5.0,5.0,5.0,7.5,7.75,8.0,8.0,
DFIs,2015-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BKB,2015-08-01,5.5,4.0,4.0,4.0,4.0,5.0,7.5,7.75,8.0,,
RAKUB,2015-08-01,5.5,4.25,4.25,4.25,4.25,4.25,7.25,8.0,9.4,9.4,9.4
PCBs,2015-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB-BANK,2015-08-01,5.0,3.5,4.5,5.5,6.5,7.0,8.5,8.75,9.0,9.75,
AL-ARAFAH,2015-08-01,4.0,4.0,4.0,4.0,4.0,4.0,7.5,8.0,8.5,9.0,9.0
BANK ASIA,2015-08-01,4.5,3.0,4.0,4.5,6.0,6.0,7.75,8.0,8.0,8.625,8.625
BCBL,2015-08-01,5.5,3.0,3.5,4.0,4.0,4.0,8.375,8.375,8.375,9.0,9.0
BRAC,2015-08-01,3.5,3.0,5.0,6.0,7.0,8.0,6.25,6.625,7.0,6.5,6.25
DHAKA,2015-08-01,5.0,4.0,4.5,4.75,5.0,5.5,7.875,7.875,7.625,7.0,10.41
DUTCH-BANGLA,2015-08-01,3.5,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0
EBL,2015-08-01,5.0,3.0,4.0,4.5,5.0,5.5,5.5,5.5,7.0,7.0,7.0
EXIM,2015-08-01,5.0,3.0,3.5,4.0,4.0,5.0,9.0,9.0,9.0,9.0,9.0
FIRST SECU,2015-08-01,5.0,3.0,4.0,4.0,4.0,4.0,9.5,9.5,9.75,9.75,9.75
GIBL,2015-08-01,6.0,6.0,6.5,7.0,7.0,7.0,9.625,9.875,10.125,10.125,10.125
ICB,2015-08-01,3.0,5.0,6.5,6.5,6.5,6.5,9.0,9.25,9.25,10.0,10.0
IFIC,2015-08-01,5.5,2.0,4.0,4.0,4.0,6.0,7.5,8.0,8.5,,
ISLAMI,2015-08-01,4.2,3.0,3.0,3.0,3.0,3.0,6.3,6.5,6.6,6.8,8.1
JAMUNA,2015-08-01,5.0,3.5,3.75,4.0,4.5,5.25,8.125,8.125,8.125,,
MDBL,2015-08-01,6.625,6.5,7.0,7.5,7.5,8.0,8.75,9.0,8.625,,
MERCANTILE,2015-08-01,5.5,4.0,5.0,5.5,6.5,7.0,8.0,8.125,8.125,,
MGBL,2015-08-01,5.0,5.0,5.5,6.0,6.5,7.0,9.125,9.0,9.0,,
MMBL,2015-08-01,5.0,4.0,4.0,4.0,4.0,4.0,9.125,9.375,9.625,,
MUTUAL TRUST,2015-08-01,4.625,4.0,4.25,4.5,4.75,5.0,7.5,8.0,8.25,8.5,8.75
NBL,2015-08-01,5.25,4.5,5.25,6.0,6.25,7.5,8.5,8.5,8.5,8.0,8.0
NCCBL,2015-08-01,5.0,5.0,5.5,5.75,6.0,6.25,8.0,8.5,8.5,,
NRBBL,2015-08-01,6.25,6.25,7.0,7.25,8.5,8.5,9.0,7.625,8.25,8.75,
NRBCBL,2015-08-01,6.75,5.5,5.75,6.5,7.0,7.5,9.25,9.5,9.5,9.5,
ONE BANK,2015-08-01,4.55,4.0,4.5,4.5,4.5,5.0,8.0,8.0,8.25,8.25,8.25
Padma,2015-08-01,6.25,5.0,6.0,7.0,8.0,8.5,9.5,9.5,10.0,,
PREMIER,2015-08-01,4.5,4.0,4.0,5.0,5.0,6.0,8.25,8.375,8.5,,9.75
PRIME,2015-08-01,5.25,3.0,5.0,5.25,5.25,5.25,6.75,7.0,7.0,7.0,7.0
PUBALI,2015-08-01,4.0,3.5,4.0,7.0,7.5,7.5,7.75,8.0,8.25,11.125,11.0
SBACBL,2015-08-01,6.5,5.5,5.5,5.5,5.5,5.5,8.5,10.0,10.125,10.75,10.75
SHAHJALAL,2015-08-01,4.0,4.0,4.25,4.5,4.75,5.0,7.25,7.5,7.5,,
SIBL,2015-08-01,4.0,4.0,4.5,5.0,5.5,6.0,8.5,8.75,9.0,,
SOUTHEAST,2015-08-01,5.0,4.0,5.0,6.0,7.0,7.5,8.5,8.5,8.5,,
STANDARD,2015-08-01,5.0,4.0,4.5,5.0,6.0,7.0,8.75,8.75,8.5,8.5,
THE CITY,2015-08-01,4.75,2.5,4.0,4.5,9.0,9.0,8.375,8.625,7.75,8.625,9.265
TRUST BANK,2015-08-01,5.0,3.0,3.5,4.0,4.5,4.5,8.5,8.125,8.375,8.375,8.375
UCBL,2015-08-01,5.75,4.0,5.0,6.0,6.5,7.0,7.0,7.0,7.0,8.5,9.0
UNBL,2015-08-01,7.0,5.5,5.5,5.5,5.5,5.5,9.5,9.5,9.75,9.75,9.75
UTTARA,2015-08-01,4.5,4.5,5.0,6.5,6.75,7.0,7.5,7.75,7.75,7.75,
FBs,2015-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL FALAH,2015-08-01,5.0,3.0,4.0,4.0,4.0,4.0,7.125,7.375,7.75,7.5,7.25
CITI N.A.,2015-08-01,4.0,1.5,1.55,1.6,1.75,2.0,1.55,1.7,2.0,5.5,
COMMERCIAL B.,2015-08-01,4.25,3.0,4.0,4.5,5.0,5.5,6.375,7.0,7.125,7.5,8.625
HABIB,2015-08-01,4.75,3.5,5.0,5.5,5.5,5.5,7.0,7.0,7.5,7.5,7.5
HSBC,2015-08-01,3.5,1.75,1.75,2.0,2.25,3.0,3.375,3.625,4.75,5.25,5.5
NBP,2015-08-01,6.0,4.5,5.0,5.5,6.0,6.5,9.5,9.5,10.0,10.0,10.0
SBI,2015-08-01,3.75,1.5,2.0,2.5,2.5,2.5,5.875,6.125,6.125,6.125,6.125
STAN.CHART,2015-08-01,3.325,1.75,1.75,1.75,2.5,2.5,4.375,4.0,5.875,6.75,6.75
WOORI,2015-08-01,5.0,4.0,4.0,4.0,4.0,4.0,5.25,8.5,8.75,8.75,8.75
AGRANI,2015-09-01,4.0,5.0,5.0,5.0,5.0,5.0,7.25,7.5,8.0,,
BASIC,2015-09-01,7.125,5.5,6.0,6.25,6.5,7.0,7.5,7.7,8.0,7.75,7.75
BDBL,2015-09-01,6.5,5.0,5.0,5.0,5.0,5.0,7.25,8.5,8.75,9.0,9.0
JANATA,2015-09-01,5.625,5.0,5.0,5.0,5.0,5.0,7.5,7.75,8.0,,
RUPALI,2015-09-01,6.0,5.5,5.5,5.5,5.5,5.5,7.5,7.75,8.0,8.0,8.0
SONALI,2015-09-01,5.0,5.0,5.0,5.0,5.0,5.0,7.5,7.75,8.0,8.0,
DFIs,2015-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BKB,2015-09-01,5.5,4.0,4.0,4.0,4.0,5.0,7.5,7.75,8.0,,
RAKUB,2015-09-01,6.0,4.25,4.25,4.25,4.25,4.25,7.25,8.0,9.4,9.4,9.4
PCBs,2015-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB-BANK,2015-09-01,5.0,3.5,4.5,5.5,6.5,7.0,8.0,8.25,8.5,8.25,
AL-ARAFAH,2015-09-01,4.0,4.0,4.0,4.0,4.0,4.0,5.5,5.75,6.0,6.25,6.25
BANK ASIA,2015-09-01,4.5,3.0,4.0,4.5,6.0,6.0,7.5,7.5,8.0,8.625,8.625
BCBL,2015-09-01,5.5,3.0,3.5,4.0,4.0,4.0,8.0,8.0,8.0,8.0,8.0
BRAC,2015-09-01,3.5,3.0,5.0,6.0,7.0,8.0,6.25,6.625,7.0,6.5,6.25
DHAKA,2015-09-01,4.5,3.5,4.0,4.5,5.0,5.5,7.375,7.375,7.125,6.5,10.41
DUTCH-BANGLA,2015-09-01,3.0,3.0,4.0,4.0,4.0,4.0,6.0,6.25,6.5,6.5,6.5
EBL,2015-09-01,4.75,2.5,3.5,4.0,4.5,5.0,5.5,5.5,6.0,6.0,6.0
EXIM,2015-09-01,5.0,3.0,3.5,4.0,4.0,5.0,8.0,8.0,8.0,8.0,8.0
FIRST SECU,2015-09-01,5.0,3.0,4.0,4.0,4.0,4.0,9.0,9.25,9.5,,
GIBL,2015-09-01,6.0,6.0,6.5,7.0,7.0,7.0,9.375,9.625,9.625,9.625,9.625
ICB,2015-09-01,4.0,5.0,6.0,6.0,6.0,6.0,8.5,8.75,9.0,10.0,10.0
IFIC,2015-09-01,5.5,2.0,4.0,4.0,4.0,6.0,7.0,7.25,8.0,,
ISLAMI,2015-09-01,4.2,3.0,3.0,3.0,3.0,3.0,6.3,6.5,6.6,6.8,8.1
JAMUNA,2015-09-01,5.0,3.5,3.75,4.0,4.5,5.25,8.125,8.125,8.125,,
MDBL,2015-09-01,6.625,6.5,7.0,7.5,7.5,8.0,8.75,9.0,8.625,,
MERCANTILE,2015-09-01,5.5,4.0,4.5,5.0,5.5,6.0,7.25,7.5,7.75,,
MGBL,2015-09-01,5.0,5.0,5.5,6.0,6.5,7.0,9.125,8.5,8.5,,
MMBL,2015-09-01,5.0,4.0,4.0,4.0,4.0,4.0,9.125,9.375,9.625,,
MUTUAL TRUST,2015-09-01,4.625,4.0,4.25,4.5,4.75,5.0,7.5,8.0,8.0,8.25,8.5
NBL,2015-09-01,5.25,4.5,5.25,6.0,6.25,7.5,8.5,8.5,8.5,8.0,8.0
NCCBL,2015-09-01,5.0,5.0,5.5,5.75,6.0,6.25,7.75,8.0,8.25,,
NRBBL,2015-09-01,6.25,6.25,7.0,7.25,8.5,8.5,8.375,7.5,8.125,8.5,
NRBCBL,2015-09-01,6.75,5.5,5.75,6.5,7.0,7.5,9.0,9.25,9.25,9.25,
ONE BANK,2015-09-01,3.8,3.5,3.5,3.5,3.7,4.0,7.5,7.5,7.75,7.75,7.75
Padma,2015-09-01,6.25,5.0,6.0,7.0,8.0,8.5,9.5,9.5,10.0,,
PREMIER,2015-09-01,4.5,4.0,4.0,5.0,5.0,6.0,8.25,8.375,8.5,,9.75
PRIME,2015-09-01,5.25,3.0,5.0,5.25,5.25,5.25,7.0,7.0,7.0,7.0,7.0
PUBALI,2015-09-01,4.0,3.5,4.0,7.0,7.5,7.5,7.5,7.75,8.0,11.125,11.0
